Entry,Exit,Origin,Dest,ID
8,25.18,S01UN,S06M10,RP8638
8,21.03,S01UN,S06M10,RP3804
8,18.80,S01UN,S06M10,RP3360
8,27.35,S01UN,S07KP,RP3596
8,28.35,S01UN,S08SP,RP2497
8,25.13,S01UN,S09AG,RP4806
8,31.54,S01UN,S09AG,RP1718
8,27.39,S01UN,S09AG,RP2360
8,35.23,S01UN,S11FG,RP6661
8,34.08,S01UN,S12KB,RP6555
8,35.65,S01UN,S12KB,RP5678
8,39.25,S01UN,S13SB,RP7790
8,33.59,S01UN,S13SB,RP2819
8,42.22,S01UN,S14DU,RP8217
8,43.73,S01UN,S14DU,RP8725
8,39.56,S01UN,S15BS,RP8425
8,41.54,S01UN,S15BS,RP9076
8,40.50,S01UN,S15BS,RP3807
8,41.47,S01UN,S15BS,RP7525
8,46.73,S01UN,S16MJ,RP5506
8,42.20,S01UN,S16MJ,RP2053
8,44.94,S01UN,S16MJ,RP6086
8,46.09,S01UN,S16MJ,RP9971
9,19.65,S01UN,S02UC,RP4736
9,23.42,S01UN,S04PL,RP1007
9,18.15,S01UN,S05M11,RP3360
9,22.65,S01UN,S05M11,RP5536
9,19.07,S01UN,S06M10,RP3537
9,25.05,S01UN,S06M10,RP1584
9,20.77,S01UN,S06M10,RP8627
9,26.71,S01UN,S06M10,RP2014
9,28.32,S01UN,S06M10,RP9131
9,23.51,S01UN,S07KP,RP2456
9,23.97,S01UN,S08SP,RP4354
9,32.97,S01UN,S09AG,RP2839
9,30.57,S01UN,S09AG,RP9497
9,27.73,S01UN,S09AG,RP2597
9,34.68,S01UN,S10BS,RP8590
9,30.95,S01UN,S11FG,RP6689
9,35.56,S01UN,S11FG,RP7555
9,34.79,S01UN,S12KB,RP7043
9,37.98,S01UN,S12KB,RP4113
9,36.98,S01UN,S13SB,RP1902
9,33.69,S01UN,S13SB,RP4416
9,39.29,S01UN,S14DU,RP7186
9,37.00,S01UN,S14DU,RP4288
9,40.89,S01UN,S15BS,RP8800
9,38.86,S01UN,S15BS,RP4314
9,37.05,S01UN,S15BS,RP4892
9,38.44,S01UN,S15BS,RP6967
9,45.17,S01UN,S16MJ,RP4725
9,41.84,S01UN,S16MJ,RP7586
9,45.50,S01UN,S16MJ,RP8410
9,46.57,S01UN,S16MJ,RP8811
10,18.01,S01UN,S04PL,RP7134
10,21.76,S01UN,S04PL,RP9510
10,24.91,S01UN,S05M11,RP8909
10,26.18,S01UN,S05M11,RP7184
10,21.45,S01UN,S06M10,RP6172
10,22.54,S01UN,S06M10,RP3932
10,21.46,S01UN,S06M10,RP4278
10,23.12,S01UN,S06M10,RP8104
10,29.45,S01UN,S06M10,RP7135
10,24.40,S01UN,S07KP,RP8264
10,25.46,S01UN,S08SP,RP6342
10,29.99,S01UN,S08SP,RP6244
10,26.78,S01UN,S09AG,RP5260
10,35.03,S01UN,S09AG,RP1169
10,28.36,S01UN,S09AG,RP6508
10,33.83,S01UN,S11FG,RP4963
10,38.95,S01UN,S12KB,RP4620
10,38.21,S01UN,S12KB,RP2983
10,38.41,S01UN,S13SB,RP5901
10,35.58,S01UN,S13SB,RP2087
10,45.71,S01UN,S14DU,RP9068
10,39.12,S01UN,S14DU,RP4228
10,47.86,S01UN,S15BS,RP4456
10,41.64,S01UN,S15BS,RP7025
10,47.86,S01UN,S15BS,RP9062
10,46.67,S01UN,S15BS,RP2748
10,49.04,S01UN,S16MJ,RP9596
10,41.44,S01UN,S16MJ,RP1860
10,43.81,S01UN,S16MJ,RP7109
10,41.54,S01UN,S16MJ,RP7519
11,17.45,S01UN,S04PL,RP1891
11,22.81,S01UN,S04PL,RP4614
11,27.28,S01UN,S05M11,RP6735
11,26.62,S01UN,S05M11,RP7549
11,23.37,S01UN,S05M11,RP5008
11,23.54,S01UN,S06M10,RP7602
11,25.43,S01UN,S06M10,RP8211
11,29.92,S01UN,S06M10,RP3742
11,27.50,S01UN,S06M10,RP6904
11,23.85,S01UN,S06M10,RP1360
11,25.14,S01UN,S07KP,RP4033
11,27.29,S01UN,S08SP,RP2648
11,31.28,S01UN,S08SP,RP7972
11,29.41,S01UN,S09AG,RP7664
11,32.12,S01UN,S09AG,RP3926
11,30.19,S01UN,S09AG,RP8489
11,30.05,S01UN,S10BS,RP2441
11,34.67,S01UN,S11FG,RP5018
11,33.81,S01UN,S11FG,RP6304
11,33.27,S01UN,S12KB,RP1737
11,37.66,S01UN,S12KB,RP6118
11,44.57,S01UN,S13SB,RP5420
11,41.97,S01UN,S13SB,RP3423
11,44.99,S01UN,S14DU,RP5356
11,42.39,S01UN,S14DU,RP3438
11,41.40,S01UN,S15BS,RP1942
11,41.32,S01UN,S15BS,RP7190
11,48.17,S01UN,S15BS,RP2514
11,43.82,S01UN,S15BS,RP3379
11,49.53,S01UN,S16MJ,RP5794
11,44.99,S01UN,S16MJ,RP6446
11,45.43,S01UN,S16MJ,RP2928
11,48.13,S01UN,S16MJ,RP5291
12,22.45,S01UN,S04PL,RP3970
12,26.36,S01UN,S04PL,RP7527
12,24.42,S01UN,S05M11,RP7416
12,29.08,S01UN,S05M11,RP5964
12,26.22,S01UN,S06M10,RP2744
12,26.53,S01UN,S06M10,RP5835
12,26.63,S01UN,S06M10,RP3397
12,23.29,S01UN,S06M10,RP2996
12,27.13,S01UN,S06M10,RP7474
12,28.95,S01UN,S07KP,RP1749
12,28.43,S01UN,S08SP,RP3284
12,29.60,S01UN,S09AG,RP2271
12,36.91,S01UN,S09AG,RP8530
12,38.96,S01UN,S10BS,RP8423
12,33.42,S01UN,S11FG,RP3169
12,39.62,S01UN,S11FG,RP4416
12,35.15,S01UN,S12KB,RP2393
12,42.52,S01UN,S12KB,RP6289
12,36.33,S01UN,S13SB,RP7786
12,43.72,S01UN,S13SB,RP8646
12,39.48,S01UN,S14DU,RP5896
12,44.46,S01UN,S14DU,RP2283
12,48.69,S01UN,S15BS,RP1595
12,42.60,S01UN,S15BS,RP8215
12,42.67,S01UN,S15BS,RP6961
12,48.79,S01UN,S15BS,RP4105
12,45.37,S01UN,S16MJ,RP9381
12,49.38,S01UN,S16MJ,RP8111
12,50.00,S01UN,S16MJ,RP7429
12,42.10,S01UN,S16MJ,RP5645
13,22.70,S01UN,S04PL,RP3650
13,25.02,S01UN,S04PL,RP8007
13,27.81,S01UN,S05M11,RP6892
13,22.05,S01UN,S05M11,RP3683
13,31.92,S01UN,S06M10,RP8124
13,32.93,S01UN,S06M10,RP6827
13,31.85,S01UN,S06M10,RP9607
13,29.27,S01UN,S06M10,RP9077
13,25.20,S01UN,S07KP,RP2427
13,27.11,S01UN,S08SP,RP1502
13,35.82,S01UN,S09AG,RP1999
13,29.47,S01UN,S09AG,RP9196
13,37.53,S01UN,S09AG,RP8293
13,40.92,S01UN,S11FG,RP1881
13,40.10,S01UN,S11FG,RP1794
13,39.67,S01UN,S12KB,RP9743
13,35.75,S01UN,S12KB,RP8694
13,38.91,S01UN,S12KB,RP3589
13,43.90,S01UN,S13SB,RP9092
13,44.68,S01UN,S14DU,RP9902
13,42.52,S01UN,S15BS,RP3819
13,48.64,S01UN,S15BS,RP2954
13,48.35,S01UN,S15BS,RP9366
13,49.46,S01UN,S15BS,RP8536
13,49.27,S01UN,S16MJ,RP4689
13,51.47,S01UN,S16MJ,RP9096
13,50.40,S01UN,S16MJ,RP1080
13,43.44,S01UN,S16MJ,RP8646
14,28.00,S01UN,S04PL,RP9531
14,26.47,S01UN,S04PL,RP5032
14,31.93,S01UN,S05M11,RP3012
14,29.35,S01UN,S05M11,RP4645
14,26.60,S01UN,S06M10,RP3505
14,33.01,S01UN,S06M10,RP1223
14,26.29,S01UN,S06M10,RP6425
14,30.02,S01UN,S06M10,RP2462
14,24.50,S01UN,S06M10,RP9641
14,26.16,S01UN,S07KP,RP1542
14,35.72,S01UN,S08SP,RP3220
14,30.63,S01UN,S09AG,RP3756
14,35.04,S01UN,S09AG,RP2060
14,36.99,S01UN,S09AG,RP6862
14,33.99,S01UN,S10BS,RP6603
14,38.49,S01UN,S11FG,RP3964
14,35.70,S01UN,S11FG,RP8845
14,40.81,S01UN,S12KB,RP5271
14,43.47,S01UN,S12KB,RP3409
14,44.88,S01UN,S13SB,RP5575
14,42.56,S01UN,S13SB,RP4798
14,49.25,S01UN,S14DU,RP4080
14,43.23,S01UN,S14DU,RP8127
14,45.49,S01UN,S15BS,RP2489
14,46.77,S01UN,S15BS,RP5984
14,47.73,S01UN,S15BS,RP6011
14,50.47,S01UN,S15BS,RP4800
14,49.68,S01UN,S16MJ,RP5505
14,51.14,S01UN,S16MJ,RP8086
14,47.50,S01UN,S16MJ,RP2219
14,53.20,S01UN,S16MJ,RP1559
15,26.30,S01UN,S04PL,RP9046
15,29.70,S01UN,S04PL,RP1006
15,29.26,S01UN,S05M11,RP7957
15,29.28,S01UN,S05M11,RP1958
15,33.26,S01UN,S06M10,RP4137
15,30.41,S01UN,S06M10,RP4706
15,34.35,S01UN,S06M10,RP5414
15,31.65,S01UN,S06M10,RP3163
15,32.20,S01UN,S06M10,RP4030
15,34.61,S01UN,S07KP,RP1063
15,31.13,S01UN,S08SP,RP4122
15,32.34,S01UN,S09AG,RP8078
15,38.36,S01UN,S09AG,RP5370
15,37.69,S01UN,S09AG,RP3872
15,35.86,S01UN,S11FG,RP7340
15,40.85,S01UN,S12KB,RP7937
15,45.61,S01UN,S12KB,RP4148
15,41.81,S01UN,S12KB,RP8785
15,45.24,S01UN,S13SB,RP2753
15,39.40,S01UN,S13SB,RP3248
15,42.01,S01UN,S14DU,RP6679
15,42.53,S01UN,S14DU,RP9946
15,49.54,S01UN,S15BS,RP7031
15,52.10,S01UN,S15BS,RP5808
15,47.33,S01UN,S15BS,RP7645
15,49.58,S01UN,S15BS,RP5499
15,49.00,S01UN,S16MJ,RP6728
15,54.23,S01UN,S16MJ,RP6306
15,54.98,S01UN,S16MJ,RP3215
15,47.68,S01UN,S16MJ,RP5742
16,21.83,S01UN,S02UC,RP2192
16,26.96,S01UN,S04PL,RP7546
16,26.06,S01UN,S04PL,RP9771
16,29.48,S01UN,S05M11,RP6209
16,28.80,S01UN,S05M11,RP1348
16,31.31,S01UN,S06M10,RP2653
16,33.72,S01UN,S06M10,RP7191
16,35.34,S01UN,S06M10,RP2600
16,28.62,S01UN,S06M10,RP9758
16,29.30,S01UN,S06M10,RP4696
16,28.94,S01UN,S07KP,RP3962
16,35.99,S01UN,S08SP,RP2706
16,36.54,S01UN,S08SP,RP5187
16,35.92,S01UN,S09AG,RP8097
16,32.68,S01UN,S09AG,RP3823
16,34.47,S01UN,S09AG,RP4162
16,36.11,S01UN,S10BS,RP3877
16,42.42,S01UN,S11FG,RP6482
16,45.43,S01UN,S11FG,RP3064
16,45.37,S01UN,S12KB,RP8623
16,47.82,S01UN,S12KB,RP9138
16,47.58,S01UN,S13SB,RP4656
16,40.11,S01UN,S13SB,RP6914
16,43.66,S01UN,S14DU,RP3444
16,47.83,S01UN,S15BS,RP5056
16,48.15,S01UN,S15BS,RP6728
16,53.70,S01UN,S15BS,RP3711
16,47.57,S01UN,S15BS,RP6585
16,49.17,S01UN,S16MJ,RP9690
16,52.58,S01UN,S16MJ,RP5364
16,54.28,S01UN,S16MJ,RP7374
16,47.12,S01UN,S16MJ,RP1570
17,30.07,S01UN,S04PL,RP1421
17,25.22,S01UN,S05M11,RP5539
17,26.09,S01UN,S05M11,RP5464
17,33.63,S01UN,S05M11,RP3197
17,31.96,S01UN,S06M10,RP1732
17,33.48,S01UN,S06M10,RP7329
17,32.18,S01UN,S06M10,RP8238
17,31.95,S01UN,S06M10,RP4087
17,30.78,S01UN,S06M10,RP5091
17,33.20,S01UN,S07KP,RP3965
17,31.47,S01UN,S08SP,RP4901
17,39.05,S01UN,S09AG,RP4211
17,42.96,S01UN,S09AG,RP7155
17,41.70,S01UN,S09AG,RP1589
17,42.25,S01UN,S10BS,RP5829
17,42.36,S01UN,S11FG,RP9716
17,46.58,S01UN,S11FG,RP6859
17,46.92,S01UN,S12KB,RP2883
17,46.51,S01UN,S12KB,RP4963
17,48.24,S01UN,S13SB,RP2874
17,49.47,S01UN,S13SB,RP1260
17,43.08,S01UN,S14DU,RP1434
17,49.40,S01UN,S14DU,RP4228
17,54.35,S01UN,S15BS,RP5646
17,50.78,S01UN,S15BS,RP9544
17,46.48,S01UN,S15BS,RP4555
17,45.13,S01UN,S15BS,RP3662
17,52.60,S01UN,S16MJ,RP6456
17,56.76,S01UN,S16MJ,RP7585
17,49.17,S01UN,S16MJ,RP4489
17,54.82,S01UN,S16MJ,RP5399
18,29.61,S01UN,S04PL,RP7557
18,26.50,S01UN,S05M11,RP7606
18,27.04,S01UN,S05M11,RP9920
18,32.60,S01UN,S05M11,RP6090
18,28.86,S01UN,S06M10,RP7898
18,35.72,S01UN,S06M10,RP7916
18,35.73,S01UN,S06M10,RP6871
18,29.37,S01UN,S06M10,RP6484
18,30.56,S01UN,S06M10,RP7699
18,33.15,S01UN,S07KP,RP3610
18,39.72,S01UN,S08SP,RP4900
18,38.97,S01UN,S09AG,RP5009
18,34.93,S01UN,S09AG,RP7461
18,35.04,S01UN,S09AG,RP2501
18,42.18,S01UN,S11FG,RP2514
18,39.96,S01UN,S11FG,RP2935
18,43.20,S01UN,S12KB,RP6141
18,49.16,S01UN,S12KB,RP8348
18,51.57,S01UN,S13SB,RP9475
18,45.70,S01UN,S14DU,RP7533
18,44.16,S01UN,S14DU,RP8072
18,53.25,S01UN,S15BS,RP6612
18,48.75,S01UN,S15BS,RP8302
18,49.02,S01UN,S15BS,RP6138
18,55.06,S01UN,S15BS,RP4859
18,48.19,S01UN,S16MJ,RP1302
18,54.09,S01UN,S16MJ,RP1363
18,54.95,S01UN,S16MJ,RP6855
18,55.15,S01UN,S16MJ,RP9077
19,31.57,S01UN,S03US,RP5490
19,34.46,S01UN,S04PL,RP5108
19,25.48,S01UN,S04PL,RP6574
19,33.67,S01UN,S05M11,RP7602
19,36.06,S01UN,S05M11,RP9999
19,35.76,S01UN,S06M10,RP3094
19,32.98,S01UN,S06M10,RP2971
19,38.09,S01UN,S06M10,RP3295
19,33.35,S01UN,S06M10,RP3963
19,38.07,S01UN,S06M10,RP1556
19,39.03,S01UN,S07KP,RP5101
19,37.07,S01UN,S08SP,RP8062
19,44.82,S01UN,S09AG,RP3028
19,43.25,S01UN,S09AG,RP8026
19,38.97,S01UN,S09AG,RP9685
19,46.96,S01UN,S10BS,RP2034
19,48.80,S01UN,S11FG,RP3471
19,48.50,S01UN,S12KB,RP7599
19,49.87,S01UN,S12KB,RP1415
19,43.87,S01UN,S13SB,RP7572
19,49.41,S01UN,S13SB,RP7686
19,54.84,S01UN,S14DU,RP2966
19,54.73,S01UN,S14DU,RP3849
19,54.80,S01UN,S15BS,RP7007
19,47.75,S01UN,S15BS,RP7830
19,48.70,S01UN,S15BS,RP6460
19,51.35,S01UN,S15BS,RP4302
19,58.51,S01UN,S16MJ,RP6796
19,51.88,S01UN,S16MJ,RP6867
19,54.68,S01UN,S16MJ,RP1595
19,52.43,S01UN,S16MJ,RP6788
20,31.35,S01UN,S04PL,RP1252
20,32.59,S01UN,S04PL,RP5508
20,35.71,S01UN,S05M11,RP1815
20,35.59,S01UN,S05M11,RP4798
20,32.75,S01UN,S06M10,RP6234
20,38.40,S01UN,S06M10,RP8006
20,35.62,S01UN,S06M10,RP3972
20,30.06,S01UN,S06M10,RP5890
20,31.65,S01UN,S06M10,RP4488
20,33.75,S01UN,S07KP,RP9438
20,37.18,S01UN,S08SP,RP7414
20,41.86,S01UN,S09AG,RP2364
20,43.39,S01UN,S09AG,RP9415
20,38.04,S01UN,S09AG,RP8702
20,47.25,S01UN,S10BS,RP1619
20,40.66,S01UN,S11FG,RP6523
20,45.19,S01UN,S11FG,RP9025
20,44.51,S01UN,S12KB,RP7308
20,49.01,S01UN,S12KB,RP4890
20,46.16,S01UN,S13SB,RP3301
20,51.84,S01UN,S13SB,RP5800
20,47.45,S01UN,S14DU,RP3441
20,57.31,S01UN,S15BS,RP8208
20,49.60,S01UN,S15BS,RP5776
20,55.15,S01UN,S15BS,RP9052
20,50.45,S01UN,S15BS,RP7820
20,54.38,S01UN,S16MJ,RP3509
20,57.59,S01UN,S16MJ,RP7421
20,56.44,S01UN,S16MJ,RP3169
20,53.61,S01UN,S16MJ,RP5256
21,35.73,S01UN,S04PL,RP4358
21,38.31,S01UN,S05M11,RP1986
21,29.75,S01UN,S05M11,RP5677
21,31.63,S01UN,S06M10,RP9824
21,35.47,S01UN,S06M10,RP6943
21,34.71,S01UN,S06M10,RP2530
21,39.93,S01UN,S06M10,RP5447
21,39.44,S01UN,S06M10,RP2956
21,38.94,S01UN,S07KP,RP6791
21,36.67,S01UN,S08SP,RP2523
21,36.48,S01UN,S08SP,RP3248
21,43.43,S01UN,S09AG,RP9883
21,38.85,S01UN,S09AG,RP5667
21,41.12,S01UN,S09AG,RP1597
21,41.22,S01UN,S10BS,RP7031
21,49.52,S01UN,S11FG,RP5699
21,49.31,S01UN,S11FG,RP4877
21,49.73,S01UN,S12KB,RP6822
21,43.49,S01UN,S12KB,RP4601
21,43.99,S01UN,S12KB,RP1644
21,48.63,S01UN,S13SB,RP2039
21,55.76,S01UN,S14DU,RP3474
21,53.71,S01UN,S14DU,RP2788
21,53.47,S01UN,S15BS,RP8393
21,52.84,S01UN,S15BS,RP4534
