Direction,Start Time,End Time,Station,Weight,Estimated Passengers,Passengers per Minute,Headway
1,7:30,8:00,7,1.5,487,16.24,10
1,7:30,8:00,8,0.5,162,5.41,10
1,7:30,8:00,9,1,325,10.82,10
1,7:30,8:00,10,1,325,10.82,10
1,7:30,8:00,11,2,649,21.65,10
1,7:30,8:00,12,1,325,10.82,10
1,7:30,8:00,13,1,325,10.82,10
1,7:30,8:00,14,0.5,162,5.41,10
1,7:30,8:00,15,0.5,162,5.41,10
1,7:30,8:00,16,2,649,21.65,10
1,8:01,12:16,1,2,6711,26.32,8
1,8:01,12:16,2,1,3356,13.16,8
1,8:01,12:16,3,1.5,5033,19.74,8
1,8:01,12:16,4,1,3356,13.16,8
1,8:01,12:16,5,1.5,5033,19.74,8
1,8:01,12:16,6,1.5,5033,19.74,8
1,8:01,12:16,7,1.5,5033,19.74,8
1,8:01,12:16,8,0.5,1678,6.58,8
1,8:01,12:16,9,1,3356,13.16,8
1,8:01,12:16,10,1,3356,13.16,8
1,8:01,12:16,11,2,6711,26.32,8
1,8:01,12:16,12,1,3356,13.16,8
1,8:01,12:16,13,1,3356,13.16,8
1,8:01,12:16,14,0.5,1678,6.58,8
1,8:01,12:16,15,0.5,1678,6.58,8
1,8:01,12:16,16,2,6711,26.32,8
1,12:17,15:15,1,2,3680,20.68,10
1,12:17,15:15,2,1,1840,10.34,10
1,12:17,15:15,3,1.5,2760,15.51,10
1,12:17,15:15,4,1,1840,10.34,10
1,12:17,15:15,5,1.5,2760,15.51,10
1,12:17,15:15,6,1.5,2760,15.51,10
1,12:17,15:15,7,1.5,2760,15.51,10
1,12:17,15:15,8,0.5,920,5.17,10
1,12:17,15:15,9,1,1840,10.34,10
1,12:17,15:15,10,1,1840,10.34,10
1,12:17,15:15,11,2,3680,20.68,10
1,12:17,15:15,12,1,1840,10.34,10
1,12:17,15:15,13,1,1840,10.34,10
1,12:17,15:15,14,0.5,920,5.17,10
1,12:17,15:15,15,0.5,920,5.17,10
1,12:17,15:15,16,2,3680,20.68,10
1,15:16,21:00,1,2,9309,27.06,8
1,15:16,21:00,2,1,4655,13.53,8
1,15:16,21:00,3,1.5,6982,20.3,8
1,15:16,21:00,4,1,4655,13.53,8
1,15:16,21:00,5,1.5,6982,20.3,8
1,15:16,21:00,6,1.5,6982,20.3,8
1,15:16,21:00,7,1.5,6982,20.3,8
1,15:16,21:00,8,0.5,2327,6.77,8
1,15:16,21:00,9,1,4655,13.53,8
1,15:16,21:00,10,1,4655,13.53,8
1,15:16,21:00,11,2,9309,27.06,8
1,15:16,21:00,12,1,4655,13.53,8
1,15:16,21:00,13,1,4655,13.53,8
1,15:16,21:00,14,0.5,2327,6.77,8
1,15:16,21:00,15,0.5,2327,6.77,8
1,15:16,21:00,16,2,9309,27.06,8
1,21:01,21:40,1,2,649,16.65,10
1,21:01,21:40,2,1,325,8.33,10
1,21:01,21:40,3,1.5,487,12.49,10
1,21:01,21:40,4,1,325,8.33,10
1,21:01,21:40,5,1.5,487,12.49,10
1,21:01,21:40,6,1.5,487,12.49,10
1,21:01,21:40,7,1.5,487,12.49,10
1,21:01,21:40,8,0.5,162,4.16,10
1,21:01,21:40,9,1,325,8.33,10
1,21:01,21:40,10,1,325,8.33,10
1,21:01,21:40,11,2,649,16.65,10
1,21:01,21:40,12,1,325,8.33,10
1,21:01,21:40,13,1,325,8.33,10
1,21:01,21:40,14,0.5,162,4.16,10
1,21:01,21:40,15,0.5,162,4.16,10
1,21:01,21:40,16,2,649,16.65,10
